"","sign_p.value","effect_size","p.adjust","enrich","tax","group","enrich2"
"WuH_2017_Metformin_D120.Clostridium_sp_1001270J_160509_D11",0.00706599473089331,0.587,0.157082498248321,"none","Clostridium_sp_1001270J_160509_D11","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Clostridium_sp_AF12_28",0.821259967332356,0.0493,0.941841787932741,"none","Clostridium_sp_AF12_28","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Clostridium_sp_AF20_17LB",0.638906477244207,0.102,0.809841982120947,"none","Clostridium_sp_AF20_17LB","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Clostridium_sp_AF27_2AA",0.273575357822675,-0.238,0.503587760578045,"none","Clostridium_sp_AF27_2AA","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Clostridium_sp_AF32_12BH",0.0456554542200483,-0.436,0.219907104493233,"none","Clostridium_sp_AF32_12BH","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Clostridium_sp_AF34_10BH",0.638906477244207,0.102,0.809841982120947,"none","Clostridium_sp_AF34_10BH","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Clostridium_sp_AF34_13",0.0129488863526033,-0.543,0.170101279813743,"none","Clostridium_sp_AF34_13","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Clostridium_sp_AF36_4",0.113769910882606,0.345,0.365327824945257,"none","Clostridium_sp_AF36_4","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Clostridium_sp_AM22_11AC",0.00961307994613869,-0.565,0.170101279813743,"none","Clostridium_sp_AM22_11AC","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Clostridium_sp_AM33_3",0.794337459130082,-0.057,0.921941870235316,"none","Clostridium_sp_AM33_3","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Clostridium_sp_AM42_4",0.121931882252568,-0.338,0.370929620747287,"none","Clostridium_sp_AM42_4","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Clostridium_sp_AM49_4BH",0.986134401819801,-0.0038,0.986134401819801,"none","Clostridium_sp_AM49_4BH","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Clostridium_sp_AT4",0.0106283239365093,-0.556,0.170101279813743,"none","Clostridium_sp_AT4","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Clostridium_symbiosum",0.0273063213278896,-0.482,0.219907104493233,"none","Clostridium_symbiosum","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Collinsella_aerofaciens",0.52021337766337,-0.14,0.726288242244994,"none","Collinsella_aerofaciens","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Collinsella_SGB14861",0.139622000665489,0.323,0.377109889647911,"none","Collinsella_SGB14861","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Collinsella_SGB4121",0.0142691916749871,-0.535,0.171824849752969,"none","Collinsella_SGB4121","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Coprobacillus_cateniformis",0.52021337766337,0.14,0.726288242244994,"none","Coprobacillus_cateniformis","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Coprobacter_fastidiosus",0.986134401819801,-0.0038,0.986134401819801,"none","Coprobacter_fastidiosus","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Coprococcus_catus",0.0420199491044772,-0.443,0.219907104493233,"none","Coprococcus_catus","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Coprococcus_comes",0.875710308642765,-0.034,0.965955264113584,"none","Coprococcus_comes","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Coprococcus_eutactus",0.0273063213278896,-0.482,0.219907104493233,"none","Coprococcus_eutactus","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Coprococcus_SGB4669",0.049552452114171,-0.428,0.230978365499926,"none","Coprococcus_SGB4669","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Desulfovibrio_SGB5077",0.30519775344658,-0.225,0.547839445627712,"none","Desulfovibrio_SGB5077","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Dialister_hominis",0.0537247082909376,-0.421,0.246451439620333,"none","Dialister_hominis","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Dialister_invisus",0.159224417632051,-0.308,0.393297920475751,"none","Dialister_invisus","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Dielma_fastidiosa",0.0157068635975834,-0.528,0.181571343188064,"none","Dielma_fastidiosa","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Dorea_formicigenerans",0.0117378300309754,-0.55,0.170101279813743,"none","Dorea_formicigenerans","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Dorea_longicatena",0.566305370256985,0.125,0.76121977676404,"none","Dorea_longicatena","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Dorea_sp_AF24_7LB",0.180841181363388,-0.292,0.405140321038909,"none","Dorea_sp_AF24_7LB","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Dorea_sp_AF36_15AT",0.0792146188362769,-0.384,0.289785124603596,"none","Dorea_sp_AF36_15AT","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Dysosmobacter_sp_BX15",0.0456554542200482,0.436,0.219907104493233,"none","Dysosmobacter_sp_BX15","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Dysosmobacter_sp_NSJ_60",0.930755669490644,-0.019,0.978139594482895,"none","Dysosmobacter_sp_NSJ_60","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Dysosmobacter_welbionis",0.091844728177532,-0.369,0.319796704136226,"none","Dysosmobacter_welbionis","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Eggerthella_lenta",0.0325495894779401,-0.467,0.219907104493233,"none","Eggerthella_lenta","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Eisenbergiella_tayi",0.169774987880332,-0.299,0.395685254011419,"none","Eisenbergiella_tayi","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Enterocloster_aldenensis",0.217241446371916,-0.268,0.448448414296312,"none","Enterocloster_aldenensis","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Enterocloster_asparagiformis",0.169774987880332,-0.299,0.395685254011419,"none","Enterocloster_asparagiformis","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Enterocloster_bolteae",0.00413720799464355,-0.626,0.132850345605776,"none","Enterocloster_bolteae","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Enterocloster_citroniae",0.180841181363388,-0.292,0.405140321038909,"none","Enterocloster_citroniae","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Enterocloster_clostridioformis",0.0456554542200483,-0.436,0.219907104493233,"none","Enterocloster_clostridioformis","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Enterocloster_lavalensis",0.130544605098777,-0.33,0.377109889647911,"none","Enterocloster_lavalensis","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Erysipelatoclostridium_ramosum",0.258634852183514,-0.247,0.485360209617114,"none","Erysipelatoclostridium_ramosum","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Escherichia_coli",0.000701810512606603,-0.74,0.05215031787367,"none","Escherichia_coli","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Escherichia_marmotae",0.0106283239365093,-0.556,0.170101279813743,"none","Escherichia_marmotae","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Eubacteriaceae_bacterium",0.079214618836277,0.384,0.289785124603596,"none","Eubacteriaceae_bacterium","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Eubacteriales_unclassified_SGB15145",0.903174807526091,0.0266,0.978139594482895,"none","Eubacteriales_unclassified_SGB15145","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Eubacterium_ramulus",0.357009849322944,-0.201,0.58335283116555,"none","Eubacterium_ramulus","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Eubacterium_rectale",0.321884345368787,-0.216,0.560389010913129,"none","Eubacterium_rectale","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Eubacterium_siraeum",0.930755669490644,0.019,0.978139594482895,"none","Eubacterium_siraeum","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Eubacterium_sp_AF34_35BH",0.258634852183514,-0.247,0.485360209617114,"none","Eubacterium_sp_AF34_35BH","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Eubacterium_sp_NSJ_61",0.0456554542200483,-0.436,0.219907104493233,"none","Eubacterium_sp_NSJ_61","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Eubacterium_ventriosum",0.794337459130082,0.057,0.921941870235316,"none","Eubacterium_ventriosum","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Evtepia_gabavorous",0.139622000665489,-0.323,0.377109889647911,"none","Evtepia_gabavorous","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Faecalibacillus_intestinalis",0.230473931170475,-0.262,0.456212096631968,"none","Faecalibacillus_intestinalis","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Faecalibacterium_prausnitzii",0.52021337766337,0.14,0.726288242244994,"none","Faecalibacterium_prausnitzii","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Faecalibacterium_SGB15315",0.159224417632051,0.308,0.393297920475751,"none","Faecalibacterium_SGB15315","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Faecalibacterium_SGB15346",0.454888844689082,-0.163,0.681154798524065,"none","Faecalibacterium_SGB15346","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Faecalicatena_fissicatena",0.0354799484955242,-0.458,0.219907104493233,"none","Faecalicatena_fissicatena","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Faecalimonas_umbilicata",0.0298290379406944,-0.474,0.219907104493233,"none","Faecalimonas_umbilicata","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Firmicutes_bacterium_AF16_15",0.000902254634492561,0.724,0.05215031787367,"none","Firmicutes_bacterium_AF16_15","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Flavonifractor_plautii",0.339155413471585,-0.209,0.569859967984232,"none","Flavonifractor_plautii","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Fusicatenibacter_saccharivorans",0.689367934651423,0.0873,0.844183614890937,"none","Fusicatenibacter_saccharivorans","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Gemmiger_formicilis",0.543015792372904,-0.133,0.750868727252484,"none","Gemmiger_formicilis","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Gemmiger_SGB15295",0.0106283239365093,-0.556,0.170101279813743,"none","Gemmiger_SGB15295","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.GGB2653_SGB3574",0.217241446371916,0.268,0.448448414296312,"none","GGB2653_SGB3574","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB2848_SGB3813",0.497914888061246,-0.148,0.708854200244828,"none","GGB2848_SGB3813","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB2982_SGB3964",0.848394698353832,0.0417,0.954031392312286,"none","GGB2982_SGB3964","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB2998_SGB3988",0.217241446371916,0.268,0.448448414296312,"none","GGB2998_SGB3988","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB3109_SGB4119",0.375445074729385,-0.193,0.58335283116555,"none","GGB3109_SGB4119","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB3256_SGB4303",0.741250603718104,0.072,0.885212497828645,"none","GGB3256_SGB4303","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB3304_SGB4367",0.217241446371916,-0.268,0.448448414296312,"none","GGB3304_SGB4367","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB3321_SGB4394",0.689367934651423,-0.0873,0.844183614890937,"none","GGB3321_SGB4394","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB33469_SGB15236",0.638906477244207,0.102,0.809841982120947,"none","GGB33469_SGB15236","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB3363_SGB4447",0.321884345368787,-0.216,0.560389010913129,"none","GGB3363_SGB4447","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB3363_SGB4448",0.149177589062844,-0.314,0.381524984417362,"none","GGB3363_SGB4448","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB33928_SGB15225",0.169774987880332,0.299,0.395685254011419,"none","GGB33928_SGB15225","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB35068_SGB47850",0.689367934651423,-0.0873,0.844183614890937,"none","GGB35068_SGB47850","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB3570_SGB4777",0.130544605098777,-0.33,0.377109889647911,"none","GGB3570_SGB4777","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB3619_SGB4894",0.614271268095052,-0.11,0.799659443601216,"none","GGB3619_SGB4894","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB3653_SGB4964",0.0581862724798512,0.412,0.250982578308612,"none","GGB3653_SGB4964","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB3746_SGB5089",0.848394698353832,0.0417,0.954031392312286,"none","GGB3746_SGB5089","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB3815_SGB5180",0.375445074729385,-0.193,0.58335283116555,"none","GGB3815_SGB5180","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB3819_SGB5184",0.0273063213278896,-0.482,0.219907104493233,"none","GGB3819_SGB5184","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.GGB3828_SGB5197",0.0249698774100945,-0.489,0.219907104493233,"none","GGB3828_SGB5197","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.GGB51441_SGB71759",0.614271268095052,-0.11,0.799659443601216,"none","GGB51441_SGB71759","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB51647_SGB4348",0.638906477244207,-0.102,0.809841982120947,"none","GGB51647_SGB4348","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB52130_SGB14966",0.180841181363389,0.292,0.405140321038909,"none","GGB52130_SGB14966","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB55957_SGB77276",0.0456554542200483,-0.436,0.219907104493233,"none","GGB55957_SGB77276","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.GGB58233_SGB79883",0.244269532970029,-0.253,0.476985777218503,"none","GGB58233_SGB79883","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB79734_SGB15291",0.169774987880332,0.299,0.395685254011419,"none","GGB79734_SGB15291","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB80011_SGB15265",0.0853409265157248,0.375,0.308294097038056,"none","GGB80011_SGB15265","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB9237_SGB14179",0.47613551179087,-0.156,0.684592850286376,"none","GGB9237_SGB14179","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB9342_SGB14306",0.590063802457739,0.118,0.78224054546003,"none","GGB9342_SGB14306","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB9512_SGB14909",0.00636278121414009,-0.596,0.157082498248321,"none","GGB9512_SGB14909","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.GGB9534_SGB14937",0.244269532970029,0.253,0.476985777218503,"none","GGB9534_SGB14937","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB9561_SGB14972",0.169774987880332,-0.299,0.395685254011419,"none","GGB9561_SGB14972","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB9602_SGB15031",0.192434184920416,0.284,0.427795995707694,"none","GGB9602_SGB15031","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB9614_SGB15049",0.113769910882606,0.345,0.365327824945257,"none","GGB9614_SGB15049","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB9616_SGB15051",0.273575357822675,-0.238,0.503587760578045,"none","GGB9616_SGB15051","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB9616_SGB15052",0.930755669490644,-0.019,0.978139594482895,"none","GGB9616_SGB15052","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB9619_SGB15066",0.454888844689082,-0.163,0.681154798524065,"none","GGB9619_SGB15066","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB9619_SGB15067",0.339155413471585,-0.209,0.569859967984232,"none","GGB9619_SGB15067","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB9627_SGB15081",0.28909532129487,-0.231,0.525462565120864,"none","GGB9627_SGB15081","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB9699_SGB15216",0.0918447281775321,0.369,0.319796704136226,"none","GGB9699_SGB15216","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB9707_SGB15229",0.357009849322944,0.201,0.58335283116555,"none","GGB9707_SGB15229","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB9708_SGB15234",0.375445074729385,0.193,0.58335283116555,"none","GGB9708_SGB15234","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB9713_SGB15249",0.321884345368787,0.216,0.560389010913129,"none","GGB9713_SGB15249","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB9758_SGB15368",0.95841994966511,0.0114,0.985705926879775,"none","GGB9758_SGB15368","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB9760_SGB15373",0.875710308642765,-0.034,0.965955264113584,"none","GGB9760_SGB15373","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.GGB9760_SGB15374",0.375445074729385,-0.193,0.58335283116555,"none","GGB9760_SGB15374","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Gordonibacter_pamelaeae",0.0987409489608765,-0.36,0.33971588392492,"none","Gordonibacter_pamelaeae","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Granulicatella_SGB8255",0.689367934651423,-0.0873,0.844183614890937,"none","Granulicatella_SGB8255","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Haemophilus_parainfluenzae",0.321884345368787,-0.216,0.560389010913129,"none","Haemophilus_parainfluenzae","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Holdemania_filiformis",0.566305370256985,-0.125,0.76121977676404,"none","Holdemania_filiformis","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Holdemania_massiliensis",0.930755669490644,-0.019,0.978139594482895,"none","Holdemania_massiliensis","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Hungatella_hathewayi",0.149177589062844,-0.314,0.381524984417362,"none","Hungatella_hathewayi","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Hydrogenoanaerobacterium_saccharovorans",0.767657761753068,0.0644,0.909233988305888,"none","Hydrogenoanaerobacterium_saccharovorans","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Intestinibacter_bartlettii",0.000902254634492561,0.724,0.05215031787367,"none","Intestinibacter_bartlettii","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Intestinimonas_butyriciproducens",0.180841181363388,-0.292,0.405140321038909,"none","Intestinimonas_butyriciproducens","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Klebsiella_pneumoniae",0.0189689110348292,-0.513,0.203037603298728,"none","Klebsiella_pneumoniae","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Lachnospira_eligens",0.95841994966511,0.0114,0.985705926879775,"none","Lachnospira_eligens","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Lachnospira_pectinoschiza",0.139622000665489,-0.323,0.377109889647911,"none","Lachnospira_pectinoschiza","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Lachnospira_sp_NSJ_43",0.049552452114171,0.428,0.230978365499926,"none","Lachnospira_sp_NSJ_43","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Lachnospiraceae_bacterium",0.230473931170475,-0.262,0.456212096631968,"none","Lachnospiraceae_bacterium","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Lachnospiraceae_bacterium_AM48_27BH",0.130544605098777,0.33,0.377109889647911,"none","Lachnospiraceae_bacterium_AM48_27BH","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Lachnospiraceae_bacterium_BX3",0.689367934651423,-0.0873,0.844183614890937,"none","Lachnospiraceae_bacterium_BX3","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Lachnospiraceae_bacterium_Marseille_Q4251",0.0680347448943781,0.397,0.269343031157196,"none","Lachnospiraceae_bacterium_Marseille_Q4251","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Lachnospiraceae_bacterium_NSJ_29",0.0680347448943781,-0.397,0.269343031157196,"none","Lachnospiraceae_bacterium_NSJ_29","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Lachnotalea_sp_AF33_28",0.958419949665109,-0.0114,0.985705926879775,"none","Lachnotalea_sp_AF33_28","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Lacrimispora_amygdalina",0.230473931170475,0.262,0.456212096631968,"none","Lacrimispora_amygdalina","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Lacrimispora_celerecrescens",0.0629514458826545,-0.406,0.263666200870828,"none","Lacrimispora_celerecrescens","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Lawsonibacter_asaccharolyticus",0.339155413471585,0.209,0.569859967984232,"none","Lawsonibacter_asaccharolyticus","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Mediterraneibacter_butyricigenes",0.614271268095052,-0.11,0.799659443601216,"none","Mediterraneibacter_butyricigenes","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Mediterraneibacter_glycyrrhizinilyticus",0.0680347448943781,-0.397,0.269343031157196,"none","Mediterraneibacter_glycyrrhizinilyticus","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Megamonas_funiformis",0.0208116692136833,-0.504,0.214806157241231,"none","Megamonas_funiformis","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Mesosutterella_multiformis",0.0456554542200483,-0.436,0.219907104493233,"none","Mesosutterella_multiformis","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Negativibacillus_massiliensis",0.339155413471585,-0.209,0.569859967984232,"none","Negativibacillus_massiliensis","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Neobittarella_massiliensis",0.47613551179087,-0.156,0.684592850286376,"none","Neobittarella_massiliensis","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Nitrosopumilus_SGB14899",0.794337459130082,0.057,0.921941870235316,"none","Nitrosopumilus_SGB14899","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Odoribacter_splanchnicus",0.848394698353832,-0.0417,0.954031392312286,"none","Odoribacter_splanchnicus","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Oscillibacter_sp_ER4",0.497914888061246,0.148,0.708854200244828,"none","Oscillibacter_sp_ER4","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Oscillospiraceae_bacterium_Marseille_Q3528",0.454888844689082,0.163,0.681154798524065,"none","Oscillospiraceae_bacterium_Marseille_Q3528","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Parabacteroides_distasonis",0.375445074729385,-0.193,0.58335283116555,"none","Parabacteroides_distasonis","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Parabacteroides_faecis",0.0456554542200483,-0.436,0.219907104493233,"none","Parabacteroides_faecis","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Parabacteroides_goldsteinii",0.0629514458826545,-0.406,0.263666200870828,"none","Parabacteroides_goldsteinii","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Parabacteroides_gordonii",0.0456554542200483,-0.436,0.219907104493233,"none","Parabacteroides_gordonii","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Parabacteroides_johnsonii",0.000321393286880946,-0.786,0.05215031787367,"none","Parabacteroides_johnsonii","WuH_2017_Metformin_D120","P<=0.05"
"WuH_2017_Metformin_D120.Parabacteroides_merdae",0.848394698353832,-0.0417,0.954031392312286,"none","Parabacteroides_merdae","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Paraprevotella_clara",0.258634852183514,-0.247,0.485360209617114,"none","Paraprevotella_clara","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Parasutterella_excrementihominis",0.47613551179087,-0.156,0.684592850286376,"none","Parasutterella_excrementihominis","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Parasutterella_SGB9260",0.794337459130082,0.057,0.921941870235316,"none","Parasutterella_SGB9260","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Phascolarctobacterium_faecium",0.375445074729385,-0.193,0.58335283116555,"none","Phascolarctobacterium_faecium","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Phocaeicola_coprocola",0.875710308642765,-0.034,0.965955264113584,"none","Phocaeicola_coprocola","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Phocaeicola_dorei",0.590063802457739,-0.118,0.78224054546003,"none","Phocaeicola_dorei","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Phocaeicola_massiliensis",0.339155413471585,-0.209,0.569859967984232,"none","Phocaeicola_massiliensis","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Phocaeicola_plebeius",0.986134401819801,-0.0038,0.986134401819801,"none","Phocaeicola_plebeius","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Phocaeicola_sartorii",0.375445074729385,-0.193,0.58335283116555,"none","Phocaeicola_sartorii","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Phocaeicola_vulgatus",0.375445074729385,-0.193,0.58335283116555,"none","Phocaeicola_vulgatus","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Phocea_massiliensis",0.258634852183514,-0.247,0.485360209617114,"none","Phocea_massiliensis","WuH_2017_Metformin_D120","None"
"WuH_2017_Metformin_D120.Prevotella_copri_clade_A",0.590063802457739,-0.118,0.78224054546003,"none","Prevotella_copri_clade_A","WuH_2017_Metformin_D120","None"
